OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1324	Fungi	 Basidiomycota	 Agaricomycetes	 Cantharellales	 Botryobasidiaceae	 Botryobasidium	 Botryobasidium subcoronatum
OTU_1563	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Claviceps	 Claviceps nigricans
OTU_749	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Trimorphomycetaceae	 Saitozyma	 Saitozyma cf. podzolica
OTU_175	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae	 Alatospora	 Alatospora constricta
OTU_1343	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Amanitaceae	 Amanita	 Amanita sp. BEW-2011g
OTU_651	Fungi	 Ascomycota	 Dothideomycetes	 unidentified	 unidentified	 unidentified	 Dothideomycetes sp. 1 GS-2016
OTU_184	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Debaryomycetaceae	 unidentified	 uncultured Meyerozyma
OTU_649	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 uncultured Ascomycota
OTU_1070	Fungi	 Basidiomycota	 Cystobasidiomycetes	 Erythrobasidiales	 Erythrobasidiaceae	 Erythrobasidium	 Erythrobasidium yunnanense
OTU_2202	Fungi	 Ascomycota	 Sordariomycetes	 Magnaporthales	 Magnaporthaceae	 Slopeiomyces	 Slopeiomyces cylindrosporus
OTU_670	Fungi	 Ascomycota	 Eurotiomycetes	 Eurotiales	 Aspergillaceae	 Penicillium	 Penicillium crocicola
OTU_1954	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Starmerella	 Starmerella bombicola
OTU_778	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia aff. fructicola sp. 1 NS-2016
OTU_679	Fungi	 Ascomycota	 Sordariomycetes	 Togniniales	 Togniniaceae	 Phaeoacremonium	 Phaeoacremonium sp. OTU60 TS-2013
OTU_705	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Stachybotryaceae	 Stachybotrys	 Stachybotrys sp. CBS 525.50
OTU_1048	Fungi	 Basidiomycota	 Agaricomycetes	 Hymenochaetales	 Hymenochaetaceae	 Phylloporia	 Phylloporia sp. MUCL FG11_462
OTU_507	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Bulleribasidiaceae	 Dioszegia	 Dioszegia rishiriensis
OTU_179	Fungi	 Basidiomycota	 Microbotryomycetes	 Sporidiobolales	 Sporidiobolaceae	 Sporobolomyces	 Sporobolomyces cf. roseus MCA 3783
OTU_99	Fungi	 Basidiomycota	 Tremellomycetes	 Cystofilobasidiales	 Cystofilobasidiaceae	 Cystofilobasidium	 Cystofilobasidium macerans
OTU_842	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 unidentified	 unidentified	 uncultured Tremellales
OTU_363	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Torulaceae	 Torula	 Torula ficus
OTU_964	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Claviceps	 Claviceps monticola
OTU_2300	Fungi	 Ascomycota	 Dothideomycetes	 Capnodiales	 unidentified	 unidentified	 Capnodiales sp. CCFEE 5389
OTU_397	Fungi	 Basidiomycota	 Cystobasidiomycetes	 unidentified	 unidentified	 unidentified	 Cystobasidiomycetes sp. P44D004
OTU_944	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Sclerotiniaceae	 Ciboria	 Ciboria caucus
OTU_238	Fungi	 Basidiomycota	 Microbotryomycetes	 Sporidiobolales	 Sporidiobolaceae	 Rhodotorula	 Rhodotorula aff. graminis EXF-7435
OTU_180	Fungi	 Ascomycota	 Sordariomycetes	 Xylariales	 Bartaliniaceae	 Truncatella	 Truncatella angustata
OTU_552	Fungi	 Ascomycota	 Sordariomycetes	 Coronophorales	 Nitschkiaceae	 Nitschkia	 Nitschkia tetraspora
OTU_2008	Fungi	 Ascomycota	 unidentified	 unidentified	 unidentified	 unidentified	 Ascomycota sp. ARIZ OCAsh3-11
OTU_17	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Metschnikowiaceae	 Metschnikowia	 Metschnikowia reukaufii
OTU_222	Fungi	 Ascomycota	 Sordariomycetes	 unidentified	 unidentified	 unidentified	 Sordariomycetes sp. genotype 948 JMUR-2014
OTU_36	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 unidentified	 Candida	 Candida sp. YM24785
OTU_20	Fungi	 Ascomycota	 Saccharomycetes	 Saccharomycetales	 Saccharomycetaceae	 Saccharomyces	 Saccharomyces cf. cerevisiae/paradoxus
