OTU	X02_0101	X02_0102	X02_0103	X02_0104	X02_0205	X02_0206	X02_0207	X02_0208	X02_0309	X02_0310	X02_0311	X02_0312	X04_0101	X04_0102	X04_0103	X04_0104	X04_0205	X04_0206	X04_0207	X04_0208	X04_0309	X04_0310	X04_0311	X04_0312
OTU237	0	0	0	0	146	45	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU239	0	0	0	0	125	52	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU24	0	16043	1197	1165	0	319	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU241	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU243	0	0	0	0	0	0	0	0	0	0	0	0	258	10	0	0	0	0	0	0	0	0	0	0
OTU251	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU258	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU259	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	7989	7637	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0
OTU260	7	0	0	0	0	169	29	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU263	5	0	0	0	0	155	27	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0
OTU269	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	0	0	0	0	0	8054	7218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU270	0	0	0	0	0	177	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU271	140	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU273	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU275	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	0
OTU279	0	116	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU280	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU281	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU284	0	0	0	0	0	39	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
OTU285	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU286	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU287	38	13	29	0	68	0	0	0	0	0	0	5	0	0	0	0	60	0	0	0	0	0	0	0
OTU288	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU289	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0
OTU29	0	1028	1244	9	2826	127	2925	3479	0	2894	1386	0	0	0	3	0	0	0	2	0	0	0	0	0
OTU291	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU292	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0
OTU298	0	0	0	0	0	0	0	0	0	0	111	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU299	0	0	0	0	0	50	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3	0	0	0	0	0	5817	0	0	0	2	2	0	0	17472	32307	30676	3	17132	0	0	0	0	0	0
OTU30	4718	2170	0	0	1844	0	1844	0	0	2792	646	0	0	0	0	10424	0	0	0	0	0	0	0	0
OTU300	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0
OTU301	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0
OTU304	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	49
OTU31	13380	6879	2	0	2248	0	1882	0	0	5442	713	0	2	0	0	20002	3	0	0	0	0	0	4	0
OTU311	54	0	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU312	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0
OTU314	38	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0
OTU315	0	31	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU317	0	0	53	0	0	0	0	0	0	102	0	0	77	0	0	0	0	0	0	48	0	0	0	0
OTU318	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0
OTU32	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	12608
OTU320	0	30	0	0	0	12	5	0	13	0	0	0	0	0	0	9	3	0	10	0	0	0	2	0
OTU321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0
OTU323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
OTU325	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	0	5	1666	186	7814	308	1786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU331	0	0	50	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU333	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU335	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
